state/ut,age-group-males,ratio-males,age-group-females,ratio-females
00,5-9,87.68207300383078,5-9,87.65852252915583
01,5-9,68.5737355018224,70+,78.17361715597056
02,5-9,88.71304867124515,70+,92.2297989229305
03,5-9,80.11641860300749,70+,84.82608959031903
04,5-9,71.39376713024058,5-9,72.54345597176852
05,5-9,90.36843580355564,5-9,90.35662285258171
06,5-9,90.61053705829826,5-9,90.79154731607586
07,5-9,84.45882816728894,5-9,84.45062527866834
08,5-9,93.9905463252837,70+,94.1446580368792
09,5-9,95.40134506828547,5-9,95.31543546201945
10,5-9,87.98163347788372,5-9,88.01317915479153
11,5-9,62.58365867261573,5-9,61.929260450160776
12,5-9,53.56809190417421,70+,62.54701773240193
13,5-9,67.29798503070943,70+,69.34770450963444
14,5-9,81.40298866231322,5-9,81.34891183725976
15,5-9,89.52878706919584,5-9,89.860103626943
16,5-9,80.35017763893799,70+,80.64945105922375
17,5-9,91.02512842574082,5-9,90.64860096974378
18,5-9,73.74605972499178,5-9,73.5775115319797
19,5-9,92.85753076471217,5-9,92.98452560452051
20,5-9,79.61710749292098,5-9,79.66851534189273
21,5-9,83.88573752277208,70+,87.42920653583107
22,5-9,89.91481248562225,5-9,90.38849793936423
23,5-9,92.25506317967428,5-9,91.95690819917903
24,5-9,86.74152803814994,5-9,87.11657596509973
25,5-9,76.87220187220187,5-9,77.61004839824844
26,5-9,55.14979799569757,70+,56.44970414201184
27,5-9,76.8406912316825,5-9,76.96152291115281
28,5-9,86.44640806638022,70+,86.93059187349854
29,5-9,75.0905375889523,5-9,75.0633340655342
30,5-9,47.923983026046244,5-9,47.52417342482845
31,5-9,96.92028985507247,5-9,97.43105402342275
32,5-9,95.18834552137447,5-9,95.07325536255453
33,5-9,85.78160855443477,5-9,85.61157527402237
34,5-9,88.72970771156635,5-9,88.76214093821038
35,5-9,54.164517792676634,70+,58.50129198966408
