state/ut,urban-percentage,rural-percentage,p-value
00,13.424759674746731,4.243962545210197,0.07863556898738089
01,24.393736299392817,13.819891392898159,0.21046005654850694
02,9.653446653266565,4.546870572615183,0.25339345341320707
03,34.60902462567599,24.393583742615395,0.033135605079975886
04,30.943856500844163,15.01500465661757,0.9801999161748624
05,3.843817904082788,1.0034313141737177,0.0627939229385092
06,6.871713663593377,3.4099870261468053,0.0021139193159820345
07,8.264202742041478,1.3063129710148387,0.48746609311941813
08,2.33013854635286,1.1835006486945954,0.042360652993006336
09,2.9617128534012864,0.8162955315248313,0.0015318342952257325
10,3.5711466968577015,1.3673991381290627,0.26702490963715775
11,41.168656969097135,25.859137547346933,0.2860480940935846
12,39.71307846702104,27.43112538190739,0.3424872984328593
13,40.50941737336374,21.753333484898434,0.22613310871828626
14,28.85977888974938,18.602866979284148,0.3380932204015442
15,6.094922617621391,3.4480002283821976,0.3022812395537562
16,9.059621219133957,4.109658229565443,0.3230639252377159
17,25.464438659837096,5.199501231109044,0.07392469685618397
18,31.445056111775223,11.076842742095227,0.2721486583956903
19,7.62014865293035,1.067934633635984,0.24565529750109613
20,8.330164106893921,3.720611789875847,0.16280165669397287
21,30.90118932169141,9.611126638456655,0.18821866540953733
22,3.791763744650921,1.006953247204031,0.07570123800628559
23,3.464053867067808,1.0707111789615789,0.038876071085420794
24,21.51588713075813,8.737057679479829,0.17379344333835622
25,14.652914121333763,12.929664216173256,0.5138488812566406
26,19.8374793735795,21.65754666491912,0.9134194835155762
27,26.86387583643903,9.865760769603337,0.27214428474563584
28,14.11408417887546,4.189923150298052,0.13484345203647305
29,24.481297311830097,5.466301977336934,0.27265429406335795
30,52.87390798995163,47.44721612524944,0.5301227992744921
31,15.842803782881665,14.192772788345945,0.7985963530823664
32,11.474606157568601,7.786231403970034,0.19480075898601282
33,5.379815931523044,1.5274651157855887,0.31006244730717236
34,7.814220530446684,1.2725202429149798,0.433212692546303
35,24.09400089206066,16.084827472763852,0.18093486305567053
