state/ut,literacy-group-males,ratio-males,literacy-group-females,ratio-females
00,Illiterate,90.52999704477247,Illiterate,90.56289727928808
01,Illiterate,85.55470117521489,Illiterate,86.39621081199375
02,Illiterate,95.02511370757306,Illiterate,95.06974825275675
03,Illiterate,93.70546620611985,Illiterate,94.001707501585
04,Illiterate,91.57192781636707,Illiterate,89.61505623816771
05,Illiterate,91.8709014061292,Illiterate,92.47201588174438
06,Illiterate,95.37007788055504,Illiterate,95.4442835999079
07,Illiterate,93.00116598883106,Illiterate,92.40861512403752
08,Illiterate,96.74502648453098,Illiterate,96.65123893502484
09,Illiterate,96.49535973330352,Illiterate,96.6820861986071
10,Illiterate,90.80087043155545,Illiterate,90.78054739597712
11,Illiterate,73.87362293004276,Illiterate,71.96026603001364
12,Illiterate,63.932799112551265,Illiterate,63.626126781464045
13,Illiterate,76.10545009511394,Illiterate,77.37643719288202
14,Illiterate,82.82638791356514,Illiterate,83.71096811826682
15,Illiterate,92.46468624261621,Illiterate,92.84909356304975
16,Illiterate,83.66411354210511,Illiterate,80.51527129142336
17,Illiterate,91.53547087738968,Illiterate,92.30292864582212
18,Illiterate,69.77869607604373,Illiterate,71.27781462400449
19,Illiterate,92.12384211903466,Illiterate,92.05689382555143
20,Illiterate,83.28698587055516,Illiterate,82.35445269997953
21,Illiterate,85.05398569691407,Illiterate,85.6599307423027
22,Illiterate,91.79615314476862,Illiterate,92.6049391281236
23,Illiterate,93.17025645165154,Illiterate,93.59770654197781
24,Illiterate,92.02948909527447,Illiterate,92.47973534209825
25,Illiterate,90.2603476498558,Illiterate,88.99701881232224
26,Illiterate,69.249985362712,Illiterate,65.14298093587522
27,Illiterate,82.7983688232511,Illiterate,82.35006605990131
28,Illiterate,88.97668457038992,Illiterate,88.8555221333372
29,Illiterate,80.37756559148734,Illiterate,79.02111538409892
30,Illiterate,76.29037359001597,Illiterate,73.31110338692478
31,Illiterate,96.90196078431373,Illiterate,98.841642228739
32,Illiterate,97.55600516510377,Illiterate,97.3047038261332
33,Illiterate,91.19942688370857,Illiterate,90.36536814204409
34,Illiterate,97.6131951742767,Illiterate,97.52038333779649
35,Illiterate,72.06837429209747,Illiterate,71.17516629711751
